apps/frappe/frappe/__init__.py +535,No permission for {0},Tidak ada izin untuk {0}
apps/frappe/frappe/__init__.py +915,App {0} is not installed,App {0} tidak terpasang
apps/frappe/frappe/__init__.py +1093,Thank you,Terima kasih
apps/frappe/frappe/app.py +155,"Your session has expired, please login again to continue.","Sesi anda telah habis, silahkan login kembali untuk melanjutkan."
apps/frappe/frappe/app.py +161,You do not have enough permissions to complete the action,Anda tidak memiliki izin yang cukup untuk menyelesaikan tindakan
apps/frappe/frappe/auth.py +84,Invalid Request,Permintaan tidak berlaku
apps/frappe/frappe/auth.py +197,Incomplete login details,Rincian login tidak lengkap
apps/frappe/frappe/auth.py +224,Unknown User,Pengguna tidak dikenal
apps/frappe/frappe/auth.py +247,Not allowed from this IP Address,Tidak diperbolehkan dari Alamat IP ini
apps/frappe/frappe/auth.py +261,Login not allowed at this time,Login tidak diizinkan untuk saat ini
apps/frappe/frappe/client.py +43,No document found for given filters,Tidak ada dokumen yangditemukan untuk filter ini
apps/frappe/frappe/client.py +95,Cannot edit standard fields,Tidak dapat mengedit field standar
apps/frappe/frappe/client.py +149,Only 200 inserts allowed in one request,Hanya 200 sisipan diperbolehkan dalam satu permintaan
apps/frappe/frappe/client.py +289,Invalid file path: {0},Path file tidak valid: {0}
apps/frappe/frappe/commands/site.py +460,Invalid limit {0},Batas tidak valid {0}
apps/frappe/frappe/config/core.py +7,Documents,Dokumen
apps/frappe/frappe/config/core.py +12,Models (building blocks) of the Application,Model (blok bangunan) dari Aplikasi
apps/frappe/frappe/config/core.py +17,Groups of DocTypes,Kelompok DocTypes
apps/frappe/frappe/config/core.py +22,Pages in Desk (place holders),Halaman di Desk (place holders)
apps/frappe/frappe/config/core.py +27,Script or Query reports,Laporan Script atau Query
apps/frappe/frappe/config/core.py +32,"Customized Formats for Printing, Email","Format kustom untuk Pencetakan, Email"
apps/frappe/frappe/config/core.py +37,Client side script extensions in Javascript,Ekstensi script sisi klien di Javascript
apps/frappe/frappe/config/core.py +47,Errors in Background Events,Kesalahan di Background Events
apps/frappe/frappe/config/core.py +52,Background Email Queue,Antrian Email di Background
apps/frappe/frappe/config/core.py +62,A log of request errors,Log kesalahan request
apps/frappe/frappe/config/desk.py +14,Documents assigned to you and by you.,Dokumen ditugaskan kepada anda dan oleh anda.
apps/frappe/frappe/config/desk.py +19,Files,Arsip
apps/frappe/frappe/config/desk.py +26,Event and other calendars.,Acara dan kalender lainnya.
apps/frappe/frappe/config/desk.py +32,Chat messages and other notifications.,Pesan chat dan notifikasi lainnya.
apps/frappe/frappe/config/desk.py +38,Private and public Notes.,Catatan pribadi dan publik.
apps/frappe/frappe/config/desk.py +44,Activity log of all users.,Log aktivitas semua pengguna.
apps/frappe/frappe/config/desk.py +54,"Newsletters to contacts, leads.","Newsletter ke kontak, prospek."
apps/frappe/frappe/config/desk.py +59,Email Group List,Daftar Kelompok Email
apps/frappe/frappe/config/desktop.py +8,Tools,Alat Kerja
apps/frappe/frappe/config/desktop.py +60,Developer,Pembangun
apps/frappe/frappe/config/integrations.py +13,Stripe payment gateway settings,Pengaturan gerbang pembayaran Stripe
apps/frappe/frappe/config/integrations.py +18,PayPal payment gateway settings,Pengaturan gerbang pembayaran PayPal
apps/frappe/frappe/config/integrations.py +23,Razorpay Payment gateway settings,Pengaturan gerbang pembayaran Razorpay
apps/frappe/frappe/config/integrations.py +28,Backup,Cadangan
apps/frappe/frappe/config/integrations.py +33,Dropbox backup settings,Pengaturan cadangan Dropbox
apps/frappe/frappe/config/integrations.py +43,Authentication,Otentikasi
apps/frappe/frappe/config/integrations.py +48,"Enter keys to enable login via Facebook, Google, GitHub.","Masukkan keys untuk mengaktifkan login melalui Facebook, Google, GitHub."
apps/frappe/frappe/config/integrations.py +53,LDAP Settings,Pengaturan LDAP
apps/frappe/frappe/config/integrations.py +58,Register OAuth Client App,Daftarkan OAuth Client App
apps/frappe/frappe/config/integrations.py +63,Settings for OAuth Provider,Pengaturan OAuth Provider
apps/frappe/frappe/config/integrations.py +68,External Documents,Dokumen Eksternal
apps/frappe/frappe/config/integrations.py +73,Enter keys to enable integration with Google GSuite,Masukkan keys untuk mengaktifkan integrasi dengan Google GSuite
apps/frappe/frappe/config/integrations.py +78,Google GSuite Templates to integration with DocTypes,Google GSuite Template untuk integrasi dengan DocTypes
apps/frappe/frappe/config/integrations.py +83,Webhooks calling API requests into web apps,API Webhook memanggil ke aplikasi web
apps/frappe/frappe/config/integrations.py +88,Maps,Peta
apps/frappe/frappe/config/integrations.py +93,Google Maps integration,Integrasi Google Maps
apps/frappe/frappe/config/setup.py +14,System and Website Users,Sistem dan Pengguna Situs Web
apps/frappe/frappe/config/setup.py +19,User Roles,Peran Pengguna
apps/frappe/frappe/config/setup.py +37,Set Permissions on Document Types and Roles,Atur Perizinan untuk Jenis Dokumen dan Peran
apps/frappe/frappe/config/setup.py +42,Show / Hide Modules,Tampilkan / Sembunyikan Modul
apps/frappe/frappe/config/setup.py +44,Show or hide modules globally.,Tampilkan atau sembunyikan modul secara global.
apps/frappe/frappe/config/setup.py +49,Set custom roles for page and report,Atur peran kustom untuk halaman dan laporan
apps/frappe/frappe/config/setup.py +57,Check which Documents are readable by a User,Tandai Dokumen yang dapat dibaca oleh Pengguna
apps/frappe/frappe/config/setup.py +64,Report of all document shares,Laporan seluruh pembagian dokumen
apps/frappe/frappe/config/setup.py +76,"Language, Date and Time settings","Pengaturan Bahasa, Tanggal dan Waktu"
apps/frappe/frappe/config/setup.py +82,Log of error on automated events (scheduler).,Log kesalahan pada peristiwa otomatis (scheduler).
apps/frappe/frappe/config/setup.py +87,Log of error during requests.,Log dari kesalahan selama permintaan.
apps/frappe/frappe/config/setup.py +93,Enable / Disable Domains,Aktifkan / Nonaktifkan Domain
apps/frappe/frappe/config/setup.py +105,Import / Export Data,Impor / Ekspor Data
apps/frappe/frappe/config/setup.py +107,Import / Export Data from CSV and Excel files.,Impor / Ekspor Data dari file CSV dan Excel.
apps/frappe/frappe/config/setup.py +112,Set numbering series for transactions.,Mengatur nomer seri untuk transaksi.
apps/frappe/frappe/config/setup.py +118,Bulk Rename,Ubah Nama Bersamaan
apps/frappe/frappe/config/setup.py +119,Rename many items by uploading a .csv file.,Ubah banyak nama sekaligus dengan mengunggah file csv.
apps/frappe/frappe/config/setup.py +126,Update many values at one time.,Memperbarui banyak nilai sekaligus.
apps/frappe/frappe/config/setup.py +133,List of backups available for download,Daftar cadangan yang tersedia untuk diunduh
apps/frappe/frappe/config/setup.py +139,Deleted Documents,Dokumen yang dihapus
apps/frappe/frappe/config/setup.py +140,Restore or permanently delete a document.,Kembalikan atau hapus dokumen secara permanen.
apps/frappe/frappe/config/setup.py +151,Add / Manage Email Accounts.,Tambah / Kelola Akun Email.
apps/frappe/frappe/config/setup.py +156,Add / Manage Email Domains.,Tambah / Kelola Domain Email.
apps/frappe/frappe/config/setup.py +161,Setup Email Alert based on various criteria.,Atur Email Pemberitahuan berdasarkan berbagai kriteria.
apps/frappe/frappe/config/setup.py +166,Standard replies to common queries.,Balasan standar untuk permintaan umum.
apps/frappe/frappe/config/setup.py +171,Setup Reports to be emailed at regular intervals,Atur Laporan untuk dikirim melalui email secara berkala
apps/frappe/frappe/config/setup.py +183,Drag and Drop tool to build and customize Print Formats.,Alat Drag dan Drop untuk membuat dan menyesuaikan Format Cetak.
apps/frappe/frappe/config/setup.py +188,"Set default format, page size, print style etc.","Atur format standar, ukuran halaman, gaya cetak dll"
apps/frappe/frappe/config/setup.py +193,Customized HTML Templates for printing transactions.,Template HTML yang disesuaikan untuk mencetak transaksi.
apps/frappe/frappe/config/setup.py +198,Stylesheets for Print Formats,Stylesheets untuk Format Cetak
apps/frappe/frappe/config/setup.py +209,Define workflows for forms.,Tentukan alur kerja untuk formulir.
apps/frappe/frappe/config/setup.py +214,"States for workflow (e.g. Draft, Approved, Cancelled).","Status untuk alur kerja (misalnya Rancangan, Disetujui, Dibatalkan)."
apps/frappe/frappe/config/setup.py +219,"Actions for workflow (e.g. Approve, Cancel).","Tindakan untuk alur kerja (misalnya Menyetujui, Membatalkan)."
apps/frappe/frappe/config/setup.py +230,"Change field properties (hide, readonly, permission etc.)","Ubah atribut bidang isian (hide, read-only, perizinan, dll)"
apps/frappe/frappe/config/setup.py +236,Add fields to forms.,Menambahkan kolom ke formulir.
apps/frappe/frappe/config/setup.py +240,Custom Translations,Terjemahan Tersendiri
apps/frappe/frappe/config/setup.py +242,Add your own translations,Tambahkan terjemahan anda sendiri
apps/frappe/frappe/config/setup.py +247,Add custom javascript to forms.,Tambahkan kustom javascript untuk form.
apps/frappe/frappe/config/setup.py +252,Add custom forms.,Tambah form kustom.
apps/frappe/frappe/config/setup.py +256,Custom Tags,Tags kustom
apps/frappe/frappe/config/setup.py +258,Add your own Tag Categories,Tambahkan sendiri Penanda Kategori anda
apps/frappe/frappe/config/setup.py +264,Applications,Aplikasi
apps/frappe/frappe/config/setup.py +269,Application Installer,Pemasang Aplikasi
apps/frappe/frappe/config/setup.py +270,Install Applications.,Pasang Aplikasi.
apps/frappe/frappe/config/website.py +7,Web Site,Situs web
apps/frappe/frappe/config/website.py +13,Content web page.,Halaman konten web.
apps/frappe/frappe/config/website.py +18,User editable form on Website.,Formulir bisa diedit pengguna pada Situs Web.
apps/frappe/frappe/config/website.py +27,Embed image slideshows in website pages.,Masukkan gambar slideshow di halaman situs web.
apps/frappe/frappe/config/website.py +32,Blog,Blog
apps/frappe/frappe/config/website.py +37,Single Post (article).,Artikel Tunggal (artikel).
apps/frappe/frappe/config/website.py +42,Write titles and introductions to your blog.,Menulis judul dan perkenalan ke blog anda.
apps/frappe/frappe/config/website.py +47,Categorize blog posts.,Mengkategorikan artikel blog.
